,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
1791,Michael Kim,100.0,71.203,284.3,58.64,62.96,0.277,-0.366,-0.089,0,0,2016,664539,500
1792,Michael Thompson,71.0,71.204,291.4,60.57,66.18,-0.213,0.141,-0.072,1,0,2016,521983,340
1793,Morgan Hoffmann,71.0,71.372,294.4,57.8,63.27,0.208,-0.324,-0.116,1,0,2016,717890,424
1794,Nick Taylor,83.0,71.281,296.2,57.21,65.82,-0.154,0.086,-0.068,1,0,2016,628756,441
1795,Padraig Harrington,54.0,71.032,289.6,60.66,62.96,-0.342,0.275,-0.067,1,0,2016,654929,393
1796,Patrick Reed,105.0,70.17,297.4,55.96,64.65,0.28,0.746,1.026,11,1,2016,5679575,1986
1797,Patrick Rodgers,89.0,70.833,300.5,57.74,69.22,-0.193,0.504,0.311,3,0,2016,1290336,827
1798,Patton Kizzire,93.0,70.921,291.3,55.23,64.48,0.46,-0.077,0.382,5,0,2016,1468624,760
1799,Paul Casey,77.0,69.95,295.2,64.67,70.8,0.112,1.26,1.372,7,0,2016,3885560,1880
1800,Peter Malnati,85.0,71.686,279.7,60.54,62.09,0.491,-1.143,-0.652,3,1,2016,1298945,599
1801,Phil Mickelson,75.0,69.582,294.8,54.82,66.05,0.565,0.799,1.364,6,0,2016,4022628,548
1802,Retief Goosen,55.0,70.581,288.8,56.4,62.73,0.462,0.151,0.613,0,0,2016,745735,380
1803,Rhein Gibson,58.0,72.086,297.5,52.45,68.11,-0.266,-0.443,-0.708,0,0,2016,155578,113
1804,Rickie Fowler,80.0,70.118,301.6,58.69,69.26,0.153,1.224,1.378,8,0,2016,2713563,1607
1805,Ricky Barnes,97.0,70.784,287.6,54.27,65.77,0.386,-0.091,0.295,4,0,2016,1158800,844
1806,Rob Oppenheim,67.0,71.435,281.2,55.28,63.58,-0.046,-0.276,-0.322,1,0,2016,462427,300
1807,Robert Garrigus,69.0,70.848,303.3,53.91,69.32,-0.213,0.844,0.632,3,0,2016,1024900,558
1808,Robert Streb,87.0,71.223,294.7,57.48,66.2,-0.432,0.555,0.122,1,0,2016,1003363,594
1809,Roberto Castro,97.0,70.588,284.2,69.37,69.13,-0.257,0.844,0.587,4,0,2016,2520574,448
